run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.029393631033599377,12.288065471919253,62.418287219640234,91,73.70556640625
2,0.026233037933707237,12.294713559094816,62.38453594818596,91,73.70556640625
3,0.02772794500924647,12.303698441013694,62.338979102677634,91,73.70556640625
4,0.026196687947958708,12.277969592018053,62.46961228008165,91,73.70556640625
5,0.03212629584595561,12.304471179144457,62.33506412693555,89,73.70556640625
6,0.025611717952415347,12.288091202965006,62.41815651685022,91,73.70556640625
7,0.028632932109758258,12.26776789384894,62.521561105225494,88,73.70556640625
8,0.02588144806213677,12.272189233917743,62.49903626650197,91,73.70556640625
9,0.027641305001452565,12.264295590110123,62.53926239502133,90,73.70556640625
10,0.026060356991365552,12.305723907891661,62.32871838674382,92,73.70556640625
,,,,,
Average,0.02755053578875959,12.286698607192374,62.42532133478638,90.5,73.70556640625
Std Dev,0.0019462805790476532,0.014771095177486739,0.07505862572134882,1.118033988749895,0.0
