run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.031224172562360764,13.522303592413664,56.72110485896096,94,74.067626953125
2,0.03183359280228615,13.56342313066125,56.54914637781465,94,74.067626953125
3,0.02657397836446762,13.57925134524703,56.4832316966033,94,74.067626953125
4,0.030480358749628067,13.629003617912531,56.277041337925525,94,74.067626953125
5,0.03458553925156593,13.630148470401764,56.27231439668917,94,74.067626953125
6,0.028199072927236557,13.644388847053051,56.21358410389034,94,74.067626953125
7,0.030041761696338654,13.653488274663687,56.176120312293804,94,74.067626953125
8,0.03315415978431702,13.678155094385147,56.07481379669776,94,74.067626953125
9,0.026620715856552124,13.688123669475317,56.03397649821205,94,74.067626953125
10,0.027322843670845032,13.697788335382938,55.994440943342084,94,74.067626953125
,,,,,
Average,0.03000361956655979,13.628607437759637,56.27957743224297,94.0,74.067626953125
Std Dev,0.002638874810523088,0.054442000946585356,0.22533472999281334,0.0,0.0
