run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.035244956612586975,18.258354626595974,42.00816643591487,95,74.180908203125
2,0.032812293618917465,18.284096285700798,41.94902433323093,95,74.180908203125
3,0.029009178280830383,18.324070535600185,41.857511872695795,95,74.180908203125
4,0.032999925315380096,18.32592498511076,41.85327619878197,95,74.180908203125
5,0.03577328473329544,18.340292520821095,41.82048891146374,95,74.180908203125
6,0.031368058174848557,18.37801406905055,41.73465082343497,95,74.180908203125
7,0.035465847700834274,18.382645279169083,41.724136453263995,95,74.180908203125
8,0.033728715032339096,18.381360057741404,41.727053797467725,95,74.180908203125
9,0.03285093978047371,18.40637458488345,41.67034613268774,95,74.180908203125
10,0.034828558564186096,18.41447113826871,41.6520243367745,95,74.180908203125
,,,,,
Average,0.03340817578136921,18.349560408294202,41.799667929571626,95.0,74.180908203125
Std Dev,0.0019916642633507676,0.049249362699316644,0.11232098729104771,0.0,0.0
