run_number,ttft_s,generation_time_s,tokens_per_sec,gpu_utilization_percent,total_gpu_memory_gb
1,0.056098371744155884,36.08110997080803,21.257660881845183,97,42.294677734375
2,0.05527861788868904,36.079848401248455,21.25840417814671,97,42.294677734375
3,0.05470924824476242,36.082897521555424,21.2566077749661,97,42.294677734375
4,0.054480742663145065,36.08390434086323,21.25601466943838,97,42.294677734375
5,0.058085620403289795,36.0755623690784,21.260929827040535,97,42.294677734375
6,0.05449073389172554,36.079437494277954,21.258646289084826,97,42.294677734375
7,0.054551128298044205,36.07771181687713,21.259663137538507,97,42.294677734375
8,0.05362483859062195,36.0814019292593,21.25748887207237,97,42.294677734375
9,0.05390104651451111,36.073103442788124,21.262379080204745,97,42.294677734375
10,0.05421677976846695,36.07762900367379,21.259711937330923,96,42.294677734375
,,,,,
Average,0.054943712800741194,36.079260629042984,21.25875066476683,96.9,42.294677734375
Std Dev,0.001236956884315313,0.0031594639654047413,0.0018616965467867811,0.3,0.0
